heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
Mahabharat Katha [Mahabharata Story],Written by: Amritlal Nagar,,Length: 10 hrs and 41 mins,Language: Hindi,4.5 out of 5 stars,118 ratings,
Get Organized: Do More in Less Time,"Written by: Ciara Conlon, The Great Courses",,Length: 4 hrs and 45 mins,Language: English,4.5 out of 5 stars,479 ratings,"₹1,003.00"
Life Is What Matters,Written by: Alka Dixit,It's Time to Be Happy Again,Length: 4 hrs and 41 mins,Language: English,4.5 out of 5 stars,18 ratings,
Complete Book of Yoga,Written by: Swami Vivekananda,,Length: 28 hrs and 16 mins,Language: English,4.5 out of 5 stars,35 ratings,₹69.00
Valmiki Ramayan (Hindi Edition),Written by: Valmiki,,Length: 7 hrs and 17 mins,Language: Hindi,4.5 out of 5 stars,227 ratings,
Arabian Nights: Volume 1,Written by: Marty Ross,An Audible Original Drama,Length: 8 hrs and 20 mins,Language: English,4.5 out of 5 stars,140 ratings,₹759.00
The Girl in Room 105 (Hindi Edition),Written by: Chetan Bhagat,,Length: 5 hrs and 19 mins,Language: Hindi,4.5 out of 5 stars,308 ratings,₹69.00
Art of Stress Management (Rupa Quick Reads),Written by: Sarvesh Gulati,,Length: 1 hr and 16 mins,Language: English,4 out of 5 stars,27 ratings,
The Guy Next Door (Hindi Edition),Written by: Nylla C,,Length: 36 hrs and 43 mins,Language: Hindi,5 out of 5 stars,45 ratings,
Panchatantra,"Written by: Pandit Vishnu Sharma, G. L. Chandiramani",,Length: 7 hrs and 31 mins,Language: English,4.5 out of 5 stars,104 ratings,₹69.00
The Favor,Written by: Suzanne Wright,,Length: 15 hrs and 23 mins,Language: English,4.5 out of 5 stars,46 ratings,₹703.00
Evolve Your Brain,Written by: Joe Dispenza,The Science of Changing Your Mind,Length: 18 hrs and 37 mins,Language: English,4.5 out of 5 stars,111 ratings,"₹1,172.00"
Her Last Wish,Written by: Ajay K. Pandey,,Length: 6 hrs and 54 mins,Language: English,4.5 out of 5 stars,461 ratings,
Shoe Dog (Hindi Edition),Written by: Phil Knight,,Length: 14 hrs and 30 mins,Language: Hindi,,Not rated yet,₹210.00
Call Me Maybe,Written by: Cara Bastone,,Length: 5 hrs and 55 mins,Language: English,4.5 out of 5 stars,749 ratings,"₹1,003.00"
The Three Lives of Cate Kay,Written by: Kate Fagan,,Length: 9 hrs and 52 mins,Language: English,5 out of 5 stars,1 rating,₹531.00
Swayam Ka Utterdayitva (Hindi),Written by: OSHO,,Length: 1 hr and 23 mins,Language: Hindi,5 out of 5 stars,14 ratings,₹167.00
